keyword,youtube_total_scale,video_title,view_count,like_count,comment_count
대구 날씨,1000000,[날씨] 대구·경북 내일 새벽까지 눈·비…빙판길 주의! / KBS  2026.02.24.,2109,34,4
cuaca besok,654195,"Prakiraan Cuaca Esok Hari, Rabu, 25 Februari 2026",12039,244,105
cuaca besok,654195,"WASPADA! PERINGATAN DINI CUACA EKSTREM BESOK RABU 25 FEBRUARI 2026, CEK WILAYAH ANDA",17861,91,11
cuaca besok,654195,"Peringatan Dini Cuaca Besok Minggu 22 Februari 2026, BMKG: Waspada Hujan Lebat & Angin Kencang",55196,197,28
날씨예보,1000000,[날씨] 오늘 전국 눈·비…경상도 최대 10cm 폭설 / SBS,28301,292,66
날씨예보,1000000,[날씨] 내일(22일) 새벽~낮 전국 곳곳에 비…5mm 미만 / KBS  2026.02.21.,17050,248,11
날씨예보,1000000,"[날씨] 밤까지 곳곳 눈비…내일 한낮 포근, 일교차 커 / 연합뉴스TV (YonhapnewsTV)",5313,126,6
오늘의 날씨,524377,[날씨] 봄 날씨 '성큼'…낮부터 전국 15도 안팎 / SBS,14882,200,41
오늘의 날씨,524377,[날씨] 오늘 전국 눈·비…경상도 최대 10cm 폭설 / SBS,28301,292,66
오늘의 날씨,524377,[날씨] 곳곳 빙판길 주의 …오전까지 내륙 짙은 안개 / 연합뉴스TV (YonhapnewsTV),6839,79,6
울산날씨,1000000,2026년 2월 24일 (화) 오늘의 울산날씨,862,0,1
울산날씨,1000000,2026년 1월 28일 (수) 오늘의 울산날씨,682,0,0
울산날씨,1000000,2026년 2월 11일 (수) 오늘의 울산날씨,577,0,0
天気,1000000,【週末天気予報】この先は2回雨のタイミングあり 天気の移り変わり早い一週間,1064,29,0
天気,1000000,【週間天気予報】次々と低気圧通過 雨のタイミングはいつ？ 渇水地域では恵みの雨,26530,231,10
天気,1000000,久しぶりに広くまとまった雨に　太平洋側中心に雨脚強まるところも　関東は日中も気温上がらず冷たい雨の一日｜TBS NEWS DIG,16668,104,25
wind warning,1000000,High Wind Warning Update ⚠️ #tweening #fyp,7418,251,50
wind warning,1000000,"High Wind Warning for foothills, mountains Tuesday",394,7,0
wind warning,1000000,Met Office wind warning in Cornwall upgraded to red 'danger to life' alert,47093,249,111
